,brand,brand_short,product,product_short,hex,H,S,V,L,group
0,Maybelline,mb,Fit Me,fmf,f3cfb3,26.0,0.26,0.95,86,2
1,Maybelline,mb,Fit Me,fmf,ffe3c2,32.0,0.24,1.0,92,2
2,Maybelline,mb,Fit Me,fmf,ffe0cd,23.0,0.2,1.0,91,2
3,Maybelline,mb,Fit Me,fmf,ffd3be,19.0,0.25,1.0,88,2
4,Maybelline,mb,Fit Me,fmf,bd9584,18.0,0.3,0.74,65,2
5,Maybelline,mb,Fit Me,fmf,eabda6,20.0,0.29,0.92,80,2
6,Maybelline,mb,Fit Me,fmf,fbd2ad,28.0,0.31,0.98,87,2
7,Maybelline,mb,Fit Me,fmf,e2b597,24.0,0.33,0.89,77,2
8,Maybelline,mb,Fit Me,fmf,e4b38e,26.0,0.38,0.89,77,2
9,Maybelline,mb,Fit Me,fmf,b2856f,20.0,0.38,0.7,60,2
10,Maybelline,mb,Fit Me,fmf,e8ba8c,30.0,0.4,0.91,79,2
11,Maybelline,mb,Fit Me,fmf,f3b584,26.0,0.46,0.95,79,2
12,Maybelline,mb,Fit Me,fmf,f0b996,23.0,0.37,0.94,80,2
13,Maybelline,mb,Fit Me,fmf,e3b082,28.0,0.43,0.89,76,2
14,Maybelline,mb,Fit Me,fmf,eab181,27.0,0.45,0.92,77,2
15,Maybelline,mb,Fit Me,fmf,9d7359,23.0,0.43,0.62,52,2
16,Maybelline,mb,Fit Me,fmf,e2aa7b,27.0,0.46,0.89,74,2
17,Maybelline,mb,Fit Me,fmf,d99358,27.0,0.59,0.85,67,2
18,Maybelline,mb,Fit Me,fmf,9c744f,29.0,0.49,0.61,52,2
19,Maybelline,mb,Fit Me,fmf,b18b65,30.0,0.43,0.69,61,2
20,Maybelline,mb,Fit Me,fmf,84583f,22.0,0.52,0.52,42,2
21,Maybelline,mb,Fit Me,fmf,7d5631,29.0,0.61,0.49,40,2
22,Maybelline,mb,Fit Me,fmf,c07746,24.0,0.64,0.75,57,2
23,Maybelline,mb,Fit Me,fmf,643c27,21.0,0.61,0.39,30,2
24,Maybelline,mb,Fit Me,fmf,edcfb9,25.0,0.22,0.93,85,2
25,Maybelline,mb,Fit Me,fmf,e1bba7,21.0,0.26,0.88,79,2
26,Maybelline,mb,Fit Me,fmf,c1a07e,30.0,0.35,0.76,68,2
27,Maybelline,mb,Fit Me,fmf,d09e7c,24.0,0.4,0.82,69,2
28,Maybelline,mb,Fit Me,fmf,c7967d,20.0,0.37,0.78,66,2
29,Maybelline,mb,Fit Me,fmf,c09578,24.0,0.38,0.75,65,2
30,Maybelline,mb,Fit Me,fmf,9d6f48,28.0,0.54,0.62,51,2
31,Maybelline,mb,Fit Me,fmf,a86d40,26.0,0.62,0.66,52,2
32,Maybelline,mb,Fit Me,fmf,7f5c3b,29.0,0.54,0.5,42,2
33,Maybelline,mb,Fit Me,fmf,735642,24.0,0.43,0.45,39,2
34,Maybelline,mb,Fit Me,fmf,6b5041,21.0,0.39,0.42,37,2
35,Maybelline,mb,Fit Me,fmf,7d5c4d,19.0,0.38,0.49,42,2
36,Maybelline,mb,Fit Me,fmf,5c4433,25.0,0.45,0.36,31,2
37,Maybelline,mb,Fit Me,fmf,5e3a23,23.0,0.63,0.37,28,2
38,Maybelline,mb,Fit Me,fmf,5e4638,22.0,0.4,0.37,32,2
39,Maybelline,mb,Fit Me,fmf,3f2018,12.0,0.62,0.25,16,2
40,bareMinerals,bm,barePRO,pro,edceb2,28.0,0.25,0.93,85,2
41,bareMinerals,bm,barePRO,pro,f0cba1,32.0,0.33,0.94,84,2
42,bareMinerals,bm,barePRO,pro,ebc99c,34.0,0.34,0.92,83,2
43,bareMinerals,bm,barePRO,pro,e6bc94,29.0,0.36,0.9,79,2
44,bareMinerals,bm,barePRO,pro,dcb79a,26.0,0.3,0.86,77,2
45,bareMinerals,bm,barePRO,pro,eac8a3,31.0,0.3,0.92,83,2
46,bareMinerals,bm,barePRO,pro,e9c89e,34.0,0.32,0.91,83,2
47,bareMinerals,bm,barePRO,pro,d4ad8a,28.0,0.35,0.83,74,2
48,bareMinerals,bm,barePRO,pro,cfa786,27.0,0.35,0.81,72,2
49,bareMinerals,bm,barePRO,pro,d8b08c,28.0,0.35,0.85,75,2
50,bareMinerals,bm,barePRO,pro,d4a97f,30.0,0.4,0.83,72,2
51,bareMinerals,bm,barePRO,pro,deb58b,30.0,0.37,0.87,77,2
52,bareMinerals,bm,barePRO,pro,dbae85,29.0,0.39,0.86,75,2
53,bareMinerals,bm,barePRO,pro,d5a275,28.0,0.45,0.84,71,2
54,bareMinerals,bm,barePRO,pro,d1a67e,29.0,0.4,0.82,71,2
55,bareMinerals,bm,barePRO,pro,e0ab81,27.0,0.42,0.88,74,2
56,bareMinerals,bm,barePRO,pro,ca9f75,30.0,0.42,0.79,69,2
57,bareMinerals,bm,barePRO,pro,c69c6c,32.0,0.45,0.78,68,2
58,bareMinerals,bm,barePRO,pro,bd9359,35.0,0.53,0.74,64,2
59,bareMinerals,bm,barePRO,pro,b38355,29.0,0.53,0.7,59,2
60,bareMinerals,bm,barePRO,pro,ab7945,31.0,0.6,0.67,55,2
61,bareMinerals,bm,barePRO,pro,ab7944,31.0,0.6,0.67,55,2
62,bareMinerals,bm,barePRO,pro,ad7d59,26.0,0.49,0.68,57,2
63,bareMinerals,bm,barePRO,pro,a16c38,30.0,0.65,0.63,51,2
64,bareMinerals,bm,barePRO,pro,976236,27.0,0.64,0.59,47,2
65,bareMinerals,bm,barePRO,pro,8a5833,26.0,0.63,0.54,43,2
66,bareMinerals,bm,barePRO,pro,8d5c31,28.0,0.65,0.55,44,2
67,bareMinerals,bm,barePRO,pro,775436,28.0,0.55,0.47,39,2
68,bareMinerals,bm,barePRO,pro,6e4b2f,27.0,0.57,0.43,35,2
69,Estée Lauder,el,Double Wear,dw,ffd6ba,24.0,0.27,1.0,89,2
70,Estée Lauder,el,Double Wear,dw,d0a26e,32.0,0.47,0.82,70,2
71,Estée Lauder,el,Double Wear,dw,c48f56,31.0,0.56,0.77,64,2
72,Estée Lauder,el,Double Wear,dw,bb8046,30.0,0.63,0.73,59,2
73,Estée Lauder,el,Double Wear,dw,ffc8a3,24.0,0.36,1.0,85,2
74,Estée Lauder,el,Double Wear,dw,d8bba3,27.0,0.25,0.85,78,2
75,Estée Lauder,el,Double Wear,dw,fac7a7,23.0,0.33,0.98,84,2
76,Estée Lauder,el,Double Wear,dw,ffcba6,25.0,0.35,1.0,86,2
77,Estée Lauder,el,Double Wear,dw,e5b593,25.0,0.36,0.9,77,2
78,Estée Lauder,el,Double Wear,dw,dea365,31.0,0.55,0.87,72,2
79,Estée Lauder,el,Double Wear,dw,d8a46d,31.0,0.5,0.85,71,2
80,Estée Lauder,el,Double Wear,dw,f2bb96,24.0,0.38,0.95,80,2
81,Estée Lauder,el,Double Wear,dw,d4a066,32.0,0.52,0.83,70,2
82,Estée Lauder,el,Double Wear,dw,f2bf91,28.0,0.4,0.95,81,2
83,Estée Lauder,el,Double Wear,dw,edbe98,27.0,0.36,0.93,81,2
84,Estée Lauder,el,Double Wear,dw,e7b79c,22.0,0.32,0.91,78,2
85,Estée Lauder,el,Double Wear,dw,ebad81,25.0,0.45,0.92,76,2
86,Estée Lauder,el,Double Wear,dw,ddb491,28.0,0.34,0.87,76,2
87,Estée Lauder,el,Double Wear,dw,e5ad8a,23.0,0.4,0.9,75,2
88,Estée Lauder,el,Double Wear,dw,d59a71,25.0,0.47,0.84,69,2
89,Estée Lauder,el,Double Wear,dw,cf905d,27.0,0.55,0.81,65,2
